Kanji°,WaniKani Level°,JLPT°,Joyo Grade¤,Main Freq Rank°,Main Freq Group°,Wiki Freq (2023)†,News Freq (2023)†
日,WaniKani::L02,JLPT::N5,JoyoGrade::XX,1,Freq::F1,2,1
一,WaniKani::L01,JLPT::N5,JoyoGrade::XX,2,Freq::F1,9,41
国,WaniKani::L06,JLPT::N5,JoyoGrade::XX,3,Freq::F1,11,13
会,WaniKani::L05,JLPT::N4,JoyoGrade::XX,4,Freq::F1,13,9
人,WaniKani::L01,JLPT::N5,JoyoGrade::XX,5,Freq::F1,7,7
年,WaniKani::L04,JLPT::N5,JoyoGrade::XX,6,Freq::F1,1,2
大,WaniKani::L01,JLPT::N5,JoyoGrade::XX,7,Freq::F1,4,8
十,WaniKani::L01,JLPT::N5,JoyoGrade::XX,8,Freq::F1,387,672
二,WaniKani::L01,JLPT::N5,JoyoGrade::XX,9,Freq::F1,163,432
本,WaniKani::L02,JLPT::N5,JoyoGrade::XX,10,Freq::F1,6,6
中,WaniKani::L02,JLPT::N5,JoyoGrade::XX,11,Freq::F1,8,16
長,WaniKani::L06,JLPT::N5,JoyoGrade::XX,12,Freq::F1,36,33
出,WaniKani::L02,JLPT::N5,JoyoGrade::XX,13,Freq::F1,10,12
三,WaniKani::L01,JLPT::N5,JoyoGrade::XX,14,Freq::F1,114,243
同,WaniKani::L05,JLPT::N4,JoyoGrade::XX,15,Freq::F1,37,18
時,WaniKani::L07,JLPT::N5,JoyoGrade::XX,16,Freq::F1,17,11
政,WaniKani::L16,JLPT::N3,JoyoGrade::XX,17,Freq::F1,151,132
事,WaniKani::L09,JLPT::N4,JoyoGrade::XX,18,Freq::F1,32,10
自,WaniKani::L05,JLPT::N4,JoyoGrade::XX,19,Freq::F1,60,79
行,WaniKani::L05,JLPT::N5,JoyoGrade::XX,20,Freq::F1,15,14
社,WaniKani::L05,JLPT::N4,JoyoGrade::XX,21,Freq::F1,27,19
見,WaniKani::L04,JLPT::N5,JoyoGrade::XX,22,Freq::F1,117,47
月,WaniKani::L02,JLPT::N5,JoyoGrade::XX,23,Freq::F1,3,3
分,WaniKani::L03,JLPT::XX,JoyoGrade::XX,24,Freq::F1,45,34
議,WaniKani::L20,JLPT::N3,JoyoGrade::XX,25,Freq::F1,181,73
後,WaniKani::L06,JLPT::N5,JoyoGrade::XX,26,Freq::F1,22,23
前,WaniKani::L06,JLPT::N5,JoyoGrade::XX,27,Freq::F1,57,48
民,WaniKani::L07,JLPT::N3,JoyoGrade::XX,28,Freq::F1,155,83
生,WaniKani::L03,JLPT::N5,JoyoGrade::XX,29,Freq::F1,24,31
連,WaniKani::L19,JLPT::N3,JoyoGrade::XX,30,Freq::F1,70,46
五,WaniKani::L02,JLPT::N5,JoyoGrade::XX,31,Freq::F1,500,590
発,WaniKani::L09,JLPT::N4,JoyoGrade::XX,32,Freq::F1,26,15
間,WaniKani::L08,JLPT::N5,JoyoGrade::XX,33,Freq::F1,42,36
対,WaniKani::L08,JLPT::N3,JoyoGrade::XX,34,Freq::F1,90,50
上,WaniKani::L01,JLPT::N5,JoyoGrade::XX,35,Freq::F1,19,21
部,WaniKani::L09,JLPT::N3,JoyoGrade::XX,36,Freq::F1,12,37
東,WaniKani::L06,JLPT::N5,JoyoGrade::XX,37,Freq::F1,31,25
者,WaniKani::L08,JLPT::N4,JoyoGrade::XX,38,Freq::F1,38,20
党,WaniKani::L32,JLPT::N2,JoyoGrade::XX,39,Freq::F1,428,126
地,WaniKani::L06,JLPT::N4,JoyoGrade::XX,40,Freq::F1,16,24
合,WaniKani::L12,JLPT::N3,JoyoGrade::XX,41,Freq::F1,25,30
市,WaniKani::L03,JLPT::N3,JoyoGrade::XX,42,Freq::F1,21,26
業,WaniKani::L10,JLPT::N4,JoyoGrade::XX,43,Freq::F1,47,68
内,WaniKani::L03,JLPT::N3,JoyoGrade::XX,44,Freq::F1,61,53
相,WaniKani::L09,JLPT::N3,JoyoGrade::XX,45,Freq::F1,252,105
方,WaniKani::L03,JLPT::N4,JoyoGrade::XX,46,Freq::F1,84,63
四,WaniKani::L02,JLPT::N5,JoyoGrade::XX,47,Freq::F1,411,667
定,WaniKani::L09,JLPT::N3,JoyoGrade::XX,48,Freq::F1,50,38
今,WaniKani::L03,JLPT::N5,JoyoGrade::XX,49,Freq::F1,480,64
回,WaniKani::L05,JLPT::N3,JoyoGrade::XX,50,Freq::F1,78,45
新,WaniKani::L09,JLPT::N4,JoyoGrade::XX,51,Freq::F1,48,4
場,WaniKani::L08,JLPT::N4,JoyoGrade::XX,52,Freq::F1,20,42
金,WaniKani::L05,JLPT::N5,JoyoGrade::XX,53,Freq::F1,152,106
員,WaniKani::L12,JLPT::N4,JoyoGrade::XX,54,Freq::F1,125,56
九,WaniKani::L01,JLPT::N5,JoyoGrade::XX,55,Freq::F1,642,449
入,WaniKani::L01,JLPT::N5,JoyoGrade::XX,56,Freq::F1,63,71
選,WaniKani::L13,JLPT::N3,JoyoGrade::XX,57,Freq::F1,86,22
立,WaniKani::L02,JLPT::N4,JoyoGrade::XX,58,Freq::F1,46,97
開,WaniKani::L10,JLPT::N4,JoyoGrade::XX,59,Freq::F1,43,39
手,WaniKani::L02,JLPT::N4,JoyoGrade::XX,60,Freq::F1,44,27
米,WaniKani::L05,JLPT::N3,JoyoGrade::XX,61,Freq::F1,456,264
力,WaniKani::L01,JLPT::N4,JoyoGrade::XX,62,Freq::F1,109,183
学,WaniKani::L05,JLPT::N5,JoyoGrade::XX,63,Freq::F1,5,69
問,WaniKani::L13,JLPT::N4,JoyoGrade::XX,64,Freq::F1,366,217
高,WaniKani::L07,JLPT::N5,JoyoGrade::XX,65,Freq::F1,40,51
代,WaniKani::L05,JLPT::N4,JoyoGrade::XX,66,Freq::F1,30,112
明,WaniKani::L06,JLPT::N4,JoyoGrade::XX,67,Freq::F1,97,54
実,WaniKani::L09,JLPT::N3,JoyoGrade::XX,68,Freq::F1,123,135
円,WaniKani::L02,JLPT::N5,JoyoGrade::XX,69,Freq::F1,509,168
関,WaniKani::L16,JLPT::N3,JoyoGrade::XX,70,Freq::F1,53,44
決,WaniKani::L08,JLPT::N3,JoyoGrade::XX,71,Freq::F1,225,58
子,WaniKani::L02,JLPT::N5,JoyoGrade::XX,72,Freq::F1,18,72
動,WaniKani::L12,JLPT::N4,JoyoGrade::XX,73,Freq::F1,62,133
京,WaniKani::L06,JLPT::N4,JoyoGrade::XX,74,Freq::F1,101,49
全,WaniKani::L06,JLPT::N3,JoyoGrade::XX,75,Freq::F1,77,78
目,WaniKani::L02,JLPT::N4,JoyoGrade::XX,76,Freq::F1,49,89
表,WaniKani::L09,JLPT::N3,JoyoGrade::XX,77,Freq::F1,99,43
戦,WaniKani::L11,JLPT::N3,JoyoGrade::XX,78,Freq::F1,28,96
経,WaniKani::L20,JLPT::N3,JoyoGrade::XX,79,Freq::F1,143,32
